key,source_location,ui_area,text_type,en,de_suggested,context,placeholders,notes,review_status
results.notice.no_analysis_base,src/psm_tool/ui/pages/2_results.py,results,warning,No respondents remain in the current analysis base after PUKI/outlier filtering.,Nach PUKI-/Ausreißerfilterung verbleiben keine Befragten in der aktuellen Analysebasis.,Warning when analysis base becomes empty,,Status message; DE optimized for MR/Product/Management audience,reviewed
results.summary.title,src/psm_tool/ui/pages/2_results.py,results,title,Summary,Zusammenfassung,Generic summary block title in PSM and NMS tabs,,May stay English to match current UI; DE optimized for MR/Product/Management audience,reviewed
results.summary.none,src/psm_tool/ui/pages/2_results.py,results,warning,- No summary available.,- Keine Zusammenfassung verfügbar.,Fallback bullet when no summary is available,,Short fallback text; DE optimized for MR/Product/Management audience,reviewed
results.pi_unit_note,src/psm_tool/ui/pages/2_results.py,results,caption,PI unit note: {note},Hinweis zur PI-Einheit: {note},Caption shown above NMS/turnover/profit views,{note},Dynamic caption; DE optimized for MR/Product/Management audience,reviewed
results.turnover.summary_title,src/psm_tool/ui/pages/2_results.py,results,title,Purchase Intention and Turnover Summary,Zusammenfassung zu Kaufabsicht und Turnover,Summary section title in turnover tab,,Presentation-style title; DE optimized for MR/Product/Management audience,reviewed
results.profit.summary_title,src/psm_tool/ui/pages/2_results.py,results,title,Profit Summary,Profit-Zusammenfassung,Summary section title in profit tab,,Profit metric name kept in English; DE optimized for MR/Product/Management audience,reviewed
results.nms.weight_fallback,src/psm_tool/ui/pages/2_results.py,results,caption,NMS weight fallback active: invalid/empty weights were replaced by unweighted averaging.,NMS-Gewichtungs-Fallback aktiv: ungültige/leere Gewichte wurden durch ungewichtete Mittelung ersetzt.,Caption when NMS weighting fallback is active,,Caveat text; DE optimized for MR/Product/Management audience,reviewed
results.quality.weight_fallback,src/psm_tool/ui/pages/2_results.py,results,caption,Weight fallback active: weight column exists but is unusable (all missing/zero/invalid). Unweighted calculation was applied.,"Gewichtungs-Fallback aktiv: Die Spalte 'weight' ist vorhanden, aber nicht nutzbar (alle Werte fehlen, sind null oder ungültig). Es wurde ungewichtet gerechnet.",Caption in QC tab when weight fallback was used,,Caveat text; DE optimized for MR/Product/Management audience,reviewed
results.quality.outlier_bounds,src/psm_tool/ui/pages/2_results.py,results,label,Outlier bounds,Ausreißergrenzen,Expander label in QC tab,,Expander label; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.total_n,src/psm_tool/core/qc.py,results,label,total_n,Gesamt n,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.valid_psm_n,src/psm_tool/core/qc.py,results,label,valid_psm_n,PSM-valides n,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.excluded_ordering_n,src/psm_tool/core/qc.py,results,label,excluded_ordering_n,Ausgeschlossen: Reihenfolge,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.missing_any_threshold_n,src/psm_tool/core/qc.py,results,label,missing_any_threshold_n,Fehlende Schwelle (mind. eine),QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.missing_too_cheap_n,src/psm_tool/core/qc.py,results,label,missing_too_cheap_n,Fehlend: too_cheap,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.missing_bargain_n,src/psm_tool/core/qc.py,results,label,missing_bargain_n,Fehlend: bargain,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.missing_expensive_acceptable_n,src/psm_tool/core/qc.py,results,label,missing_expensive_acceptable_n,Fehlend: expensive_acceptable,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.missing_too_expensive_n,src/psm_tool/core/qc.py,results,label,missing_too_expensive_n,Fehlend: too_expensive,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_filter_applied,src/psm_tool/core/qc.py,results,label,puki_filter_applied,PUKI-Filter angewendet,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_threshold,src/psm_tool/core/qc.py,results,label,puki_threshold,PUKI-Schwelle,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_pass_n,src/psm_tool/core/qc.py,results,label,puki_pass_n,PUKI Pass n,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_excluded_n,src/psm_tool/core/qc.py,results,label,puki_excluded_n,PUKI ausgeschlossen n,QC dataframe column header,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.plausibility_filter_applied,src/psm_tool/ui/pages/2_results.py,results,label,plausibility_filter_applied,Plausibilitätsfilter angewendet,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.invalid_ordering_n,src/psm_tool/ui/pages/2_results.py,results,label,invalid_ordering_n,Ungültige Reihenfolge n,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.excluded_psm_n,src/psm_tool/ui/pages/2_results.py,results,label,excluded_psm_n,PSM ausgeschlossen n,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.included_invalid_ordering_n,src/psm_tool/ui/pages/2_results.py,results,label,included_invalid_ordering_n,Eingeschlossene ungültige Reihenfolge n,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.outlier_filter_applied,src/psm_tool/ui/pages/2_results.py,results,label,outlier_filter_applied,Ausreißerfilter angewendet,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.outlier_level,src/psm_tool/ui/pages/2_results.py,results,label,outlier_level,Ausreißerstufe,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.outlier_q_low,src/psm_tool/ui/pages/2_results.py,results,label,outlier_q_low,Ausreißer q niedrig,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.outlier_q_high,src/psm_tool/ui/pages/2_results.py,results,label,outlier_q_high,Ausreißer q hoch,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.outlier_excluded_n,src/psm_tool/ui/pages/2_results.py,results,label,outlier_excluded_n,Ausreißer ausgeschlossen n,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_filter_applied_to_analysis,src/psm_tool/ui/pages/2_results.py,results,label,puki_filter_applied_to_analysis,PUKI-Filter in Analyse angewendet,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.puki_excluded_from_analysis_n,src/psm_tool/ui/pages/2_results.py,results,label,puki_excluded_from_analysis_n,Durch PUKI ausgeschlossenes Analyse-n,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.analysis_n_after_outlier,src/psm_tool/ui/pages/2_results.py,results,label,analysis_n_after_outlier,Analyse-n nach Ausreißerfilter,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.qc.column.psm_weighting_applied,src/psm_tool/ui/pages/2_results.py,results,label,psm_weighting_applied,PSM-Gewichtung angewendet,QC dataframe column header added in Results page,,Dataframe header; may stay technical or get display mapping later; DE optimized for MR/Product/Management audience,reviewed
results.kpi.pmi.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,PMI,PMI,KPI card title in results,,Abbreviation kept,reviewed
results.kpi.opp.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,OPP,OPP,KPI card title in results,,Abbreviation kept,reviewed
results.kpi.idp.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,IDP,IDP,KPI card title in results,,Abbreviation kept,reviewed
results.kpi.pme.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,PME,PME,KPI card title in results,,Abbreviation kept,reviewed
results.kpi.accepted_range.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Accepted Range,Akzeptierter Preisbereich,KPI card title in results,,Terminology normalized; DE optimized for MR/Product/Management audience,reviewed
results.kpi.price_stress.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Price Stress,Preisstress,KPI card title in results,,Keep metric label in English for now; check terminology; DE optimized for MR/Product/Management audience,reviewed
results.kpi.psi.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Price Sensitivity Index,Preissensitivitätsindex,KPI card title in results,,Check whether to keep English label in final migration; DE optimized for MR/Product/Management audience,reviewed
results.kpi.range_symmetry.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Range Symmetry,Symmetrie des Preisbereichs,KPI card title in results,,Check terminology; DE optimized for MR/Product/Management audience,reviewed
results.kpi.revenue_efficiency.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Revenue Efficiency,Revenue-Effizienz,KPI card title in results,,Metric label currently English; DE optimized for MR/Product/Management audience,reviewed
results.kpi.profit_feasibility_zone.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Profit Feasibility Zone,Profit-Feasibility-Zone,KPI card title in results,,Metric label currently English; DE optimized for MR/Product/Management audience,reviewed
results.kpi.accepted_range.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Range consumers find acceptable,"Preisbereich, den Konsumenten als akzeptabel wahrnehmen",KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.price_stress.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Difference between OPP and IDP,Differenz zwischen OPP und IDP,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.psi.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Relative accepted-range width: (PME - PMI) / IDP,Relative Breite des akzeptierten Bereichs: (PME - PMI) / IDP,KPI explanation subtitle,,Technical formula subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.range_symmetry.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Right/left accepted-range span around IDP,Rechte/linke Spannweite des akzeptierten Bereichs um IDP,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.revenue_efficiency.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Gap between max turnover price and OPP,Abstand zwischen Preis mit maximalem Turnover und OPP,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.profit_feasibility_zone.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Accepted-range share above cost,Anteil des akzeptierten Bereichs oberhalb der Kosten,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_turnover_price.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Maximum Turnover Price,Preis mit maximalem Turnover,KPI card title in turnover tab,,Terminology rule applied; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_turnover_price.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Price where turnover index reaches its maximum,"Preis, bei dem der Turnover Index sein Maximum erreicht",KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_turnover_index.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Maximum Turnover Index,Maximaler Turnover Index,KPI card title in turnover tab,,Keep index term; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_turnover_index.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Normalized turnover score at max-turnover price,Normierter Turnover-Wert am Preis mit maximalem Turnover,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.pi_source.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,PI Source,PI-Quelle,KPI card title in turnover tab,,Short card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_profit_price.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Maximum Profit Price,Preis mit maximalem Profit,KPI card title in profit tab,,Short card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_profit_price.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Price where profit proxy reaches its maximum,"Preis, bei dem der Profit-Proxy sein Maximum erreicht",KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.break_even_cost.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Break-even (Cost),Break-even (Kosten),KPI card title in profit tab,,Card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.break_even_cost.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Price where unit margin equals zero,"Preis, bei dem die Stückmarge null ist",KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_profit_index.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Maximum Profit Index,Maximaler Profit Index,KPI card title in profit tab,,Card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.maximum_profit_index.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,Normalized profit proxy score at the optimum,Normierter Profit-Proxy-Wert am Optimum,KPI explanation subtitle,,Short card subtitle; DE optimized for MR/Product/Management audience,reviewed
results.kpi.max_trial_price.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Max Trial Price,Max-Trial-Preis,KPI card title in NMS tab,,Card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.max_trial_price.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,(Price where modeled trial intent reaches its maximum),"(Preis, bei dem die modellierte Trial-Absicht ihr Maximum erreicht)",KPI explanation subtitle,,Keep Trial as metric name; DE optimized for MR/Product/Management audience,reviewed
results.kpi.max_revenue_price.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,Max Revenue Price,Max-Revenue-Preis,KPI card title in NMS tab,,Card title; DE optimized for MR/Product/Management audience,reviewed
results.kpi.max_revenue_price.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,(Price where modeled revenue per 100 reaches its maximum),"(Preis, bei dem die modellierte Revenue pro 100 ihr Maximum erreicht)",KPI explanation subtitle,,Keep Revenue as metric name; DE optimized for MR/Product/Management audience,reviewed
results.kpi.nms_included_n.title,src/psm_tool/ui/pages/2_results.py,kpi_summary,title,NMS Included N,NMS eingeschlossenes n,KPI card title in NMS tab,,May keep mixed technical label; check terminology; DE optimized for MR/Product/Management audience,reviewed
results.kpi.nms_included_n.subtitle,src/psm_tool/ui/pages/2_results.py,kpi_summary,label,(Respondents included after PI eligibility and missing checks),"(Befragte, die nach PI-Eignungs- und Missing-Prüfung eingeschlossen wurden)",KPI explanation subtitle,,Subtitle only; DE optimized for MR/Product/Management audience,reviewed
psm_chart.title,src/psm_tool/plots/psm_plot.py,psm_chart,title,Van Westendorp Price Sensitivity Meter,Van-Westendorp-Preissensitivitätsanalyse,PSM chart title,,Chart title; DE optimized for MR/Product/Management audience,reviewed
psm_chart.axis.x,src/psm_tool/plots/psm_plot.py,psm_chart,axis,Price,Preis,PSM chart x-axis label,,Axis label; DE optimized for MR/Product/Management audience,reviewed
psm_chart.axis.y,src/psm_tool/plots/psm_plot.py,psm_chart,axis,Share (%),Anteil (%),PSM chart y-axis label,,Axis label; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.too_cheap,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Too Cheap,Zu günstig,PSM curve legend label,,PSM term usually kept; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.bargain,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Bargain,Günstig,PSM curve legend label,,PSM term often kept in English; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.not_expensive,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Not Expensive,Nicht teuer,PSM curve legend label,,PSM term; check final convention; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.not_bargain,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Not Bargain,Nicht günstig,PSM curve legend label,,PSM term; check final convention; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.expensive,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Expensive,Teuer,PSM curve legend label,,PSM term; check final convention; DE optimized for MR/Product/Management audience,reviewed
psm_chart.legend.too_expensive,src/psm_tool/plots/psm_plot.py,psm_chart,legend,Too Expensive,Zu teuer,PSM curve legend label,,PSM term; check final convention; DE optimized for MR/Product/Management audience,reviewed
psm_chart.marker.pmi,src/psm_tool/plots/psm_plot.py,psm_chart,marker,PMI,PMI,Vertical marker label on PSM chart,,Abbreviation kept,reviewed
psm_chart.marker.opp,src/psm_tool/plots/psm_plot.py,psm_chart,marker,OPP,OPP,Vertical marker label on PSM chart,,Abbreviation kept,reviewed
psm_chart.marker.idp,src/psm_tool/plots/psm_plot.py,psm_chart,marker,IDP,IDP,Vertical marker label on PSM chart,,Abbreviation kept,reviewed
psm_chart.marker.pme,src/psm_tool/plots/psm_plot.py,psm_chart,marker,PME,PME,Vertical marker label on PSM chart,,Abbreviation kept,reviewed
nms_chart.title,src/psm_tool/plots/nms_plot.py,nms_chart,title,NMS Trial + Revenue,NMS Trial + Revenue,NMS chart title,,Keep metric names Trial and Revenue; DE optimized for MR/Product/Management audience,reviewed
nms_chart.axis.x,src/psm_tool/plots/nms_plot.py,nms_chart,axis,Price,Preis,NMS chart x-axis label,,Axis label; DE optimized for MR/Product/Management audience,reviewed
nms_chart.legend.trial_pct,src/psm_tool/plots/nms_plot.py,nms_chart,legend,Trial %,Trial %,NMS legend/annotation label,,Keep metric name Trial; DE optimized for MR/Product/Management audience,reviewed
nms_chart.legend.revenue_per_100,src/psm_tool/plots/nms_plot.py,nms_chart,legend,Revenue / 100,Revenue / 100,NMS legend/annotation label,,Keep metric name Revenue; DE optimized for MR/Product/Management audience,reviewed
nms_chart.marker.max_trial,src/psm_tool/plots/nms_plot.py,nms_chart,marker,MaxTrial,Max Trial,NMS vertical marker label,,Chart label can be spaced for review; DE optimized for MR/Product/Management audience,reviewed
nms_chart.marker.max_revenue,src/psm_tool/plots/nms_plot.py,nms_chart,marker,MaxRevenue,Max Revenue,NMS vertical marker label,,Chart label can be spaced for review; DE optimized for MR/Product/Management audience,reviewed
turnover_chart.title,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,title,Purchase Intention & Turnover Index (0-100),Kaufabsicht & Turnover Index (0-100),Turnover chart title,,Keep Turnover Index in English; DE optimized for MR/Product/Management audience,reviewed
profit_chart.title,src/psm_tool/plots/turnover_index_plot.py,profit_chart,title,Purchase Intention & Profit Index (0-100),Kaufabsicht & Profit Index (0-100),Profit chart title,,Keep Profit Index in English; DE optimized for MR/Product/Management audience,reviewed
economics_chart.axis.x,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,axis,Price,Preis,Turnover/profit chart x-axis label,,Axis label; DE optimized for MR/Product/Management audience,reviewed
economics_chart.axis.y,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,axis,Index / %,Index / %,Turnover/profit chart y-axis label,,Axis label unchanged; DE optimized for MR/Product/Management audience,reviewed
economics_chart.legend.purchase_intention,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,legend,Purchase Intention,Kaufabsicht,Legend label for PI curve,,Legend label; DE optimized for MR/Product/Management audience,reviewed
economics_chart.legend.turnover_index,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,legend,Turnover Index,Turnover Index,Legend label for turnover curve,,Metric term kept; DE optimized for MR/Product/Management audience,reviewed
economics_chart.legend.profit_index,src/psm_tool/plots/turnover_index_plot.py,profit_chart,legend,Profit Index,Profit Index,Legend label for profit curve,,Metric term kept; DE optimized for MR/Product/Management audience,reviewed
economics_chart.marker.maximum_profit_proxy,src/psm_tool/plots/turnover_index_plot.py,profit_chart,marker,Maximum Profit Proxy,Max Profit Proxy,Vertical marker label in profit view,,Check whether shorter DE phrasing is needed for chart; DE optimized for MR/Product/Management audience,reviewed
economics_chart.marker.break_even_cost,src/psm_tool/plots/turnover_index_plot.py,profit_chart,marker,Break-even (Cost),Break-even (Kosten),Vertical marker label in profit view,,Chart marker label; DE optimized for MR/Product/Management audience,reviewed
economics_chart.marker.maximum_turnover_price_dynamic,src/psm_tool/plots/turnover_index_plot.py,turnover_chart,marker,Maximum Turnover {price:.2f} {currency},Max Turnover {price:.2f} {currency},Dynamic vertical marker label in turnover view,{price:.2f}; {currency},Dynamic marker text; DE optimized for MR/Product/Management audience,reviewed
benchmark.marker.tested_price,src/psm_tool/plots/benchmarks.py,psm_chart,marker,Tested Price,Getesteter Preis,Shared vertical benchmark label across charts,,Shared marker label; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.title,src/psm_tool/report/kpi_summary_png.py,kpi_summary,title,KPI Summary,KPI-Übersicht,KPI summary figure title,,May stay English to match export assets; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.context_line,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Product: {product} | Country: {country} | Currency: {currency},Produkt: {product} | Land: {country} | Währung: {currency},Context line above KPI summary cards,{product}; {country}; {currency},Dynamic context line; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.pmi.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Point of Marginal Cheapness,Point of Marginal Cheapness,Second-line term in KPI summary card,,Abbreviation expansion intentionally kept; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.opp.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Optimal Price Point,Optimal Price Point,Second-line term in KPI summary card,,Abbreviation expansion intentionally kept; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.idp.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Indifference Price Point,Indifference Price Point,Second-line term in KPI summary card,,Abbreviation expansion intentionally kept; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.pme.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Point of Marginal Expensiveness,Point of Marginal Expensiveness,Second-line term in KPI summary card,,Abbreviation expansion intentionally kept; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.pmi.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Lower bound of acceptable price,Untere Grenze des akzeptierten Preisbereichs,Explanation text in KPI summary card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.opp.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Balance point of cheap and expensive,Gleichgewichtspunkt zwischen günstig und teuer,Explanation text in KPI summary card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.idp.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Balance point of value and expensiveness,Gleichgewichtspunkt zwischen Preiswürdigkeit und Teuer-Wahrnehmung,Explanation text in KPI summary card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.pme.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Upper bound of acceptable price,Obere Grenze des akzeptierten Preisbereichs,Explanation text in KPI summary card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.not_available,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Not available,Nicht verfügbar,Fallback explanation/value in KPI summary cards,,Short fallback text; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.interval_suffix,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,interval estimate,Intervallschätzung,Explanation suffix for interval KPI cards,,Short explanatory suffix; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.diagnostic_suffix,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,diagnostic,diagnostisch,Explanation suffix for diagnostic KPI cards,,Short explanatory suffix; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.max_turnover_price.label,src/psm_tool/report/kpi_summary_png.py,kpi_summary,title,Max Turnover Price,Preis mit maximalem Turnover,KPI summary card label,,Terminology rule applied; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.max_turnover_price.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Highest Turnover Index,Höchster Turnover Index,Secondary term in KPI summary card,,Short label; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.max_turnover_price.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Price with highest turnover index,Preis mit höchstem Turnover Index,Explanation text in KPI summary card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.max_turnover_price.na_explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Not available for this analysis,Für diese Analyse nicht verfügbar,Fallback explanation for missing turnover result,,Short fallback text; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.tested_price.label,src/psm_tool/report/kpi_summary_png.py,kpi_summary,title,Tested Price,Getesteter Preis,Conditional KPI summary card label,,Terminology rule applied; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.tested_price.term,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Study Benchmark,Studien-Benchmark,Secondary term in tested-price KPI card,,Short label; DE optimized for MR/Product/Management audience,reviewed
kpi_summary.card.tested_price.explanation,src/psm_tool/report/kpi_summary_png.py,kpi_summary,label,Price tested in study,In der Studie getesteter Preis,Explanation text in tested-price KPI card,,Short card copy; DE optimized for MR/Product/Management audience,reviewed
export.title,src/psm_tool/ui/pages/3_export.py,export,title,3. Export,3. Export,Export page title,,Page title,reviewed
export.notice.no_analysis,src/psm_tool/ui/pages/3_export.py,export,warning,"No analysis available yet. Start from Upload to change data, then run Results to compute KPIs before export.","Noch keine Analyse verfügbar. Laden oder ändern Sie Daten unter Upload und berechnen Sie anschließend die KPIs in Ergebnisse, bevor Sie exportieren.",Warning shown when dataset exists but no analysis payload is available,,Multi-step guidance; DE optimized for MR/Product/Management audience,reviewed
export.button.go_to_results,src/psm_tool/ui/pages/3_export.py,export,button,Go to Results,Zu Ergebnisse,Navigation button to results page,,Button label; DE optimized for MR/Product/Management audience,reviewed
export.notice.no_dataset,src/psm_tool/ui/pages/3_export.py,export,warning,No dataset loaded. Run page '1 Upload' first (or again) to enable Results and Export.,"Kein Datensatz geladen. Bitte zuerst Seite '1 Upload' öffnen, damit Ergebnisse und Export verfügbar werden.",Warning shown when entering export without dataset,,Status message; DE optimized for MR/Product/Management audience,reviewed
export.caption.in_memory,src/psm_tool/ui/pages/3_export.py,export,caption,Exports are generated in-memory and are not written to disk by default.,Exporte werden im Arbeitsspeicher erzeugt und standardmäßig nicht auf die Festplatte geschrieben.,Caption on export page,,Privacy/process statement; DE optimized for MR/Product/Management audience,reviewed
